SEX,SCHLCOLL,Arts,Chores,Class,Computer-use,Eating,Fitness,Games,Homework,Reading,Religious,Shopping,Sleepingr,Socializing,TV,Telephone,Travel,Medical-care,Personal-care,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,180,0,85,60,0,230,0,0,0,600,0,105,0,50,0,70,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,90,0,60,0,0,0,60,600,60,0,0,45,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,30,0,0,100,240,0,45,0,0,60,710,0,0,0,160,0,60,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,120,0,0,0,0,0,120,270,110,0,0,180,0,21,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,35,0,0,270,0,0,205,600,0,0,0,120,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,90,0,0,15,0,0,0,0,0,40,465,0,278,0,41,0,15,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,50,0,0,0,0,0,0,465,0,265,0,65,0,60,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,360,60,0,0,270,0,0,0,630,0,0,0,0,0,60,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,240,0,45,0,0,540,0,0,0,450,0,60,0,80,0,25,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,230,0,60,40,0,120,0,0,0,440,0,60,0,85,0,100,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,65,0,0,60,0,0,60,480,15,30,0,170,70,40,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,71,60,0,120,0,0,0,660,0,349,0,0,0,110,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,20,0,0,120,0,0,200,535,0,0,0,80,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,97,45,10,0,0,180,0,0,9,670,80,75,50,58,0,61,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,30,60,0,0,0,0,10,270,0,60,0,42,0,70,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,60,0,0,15,0,0,0,0,0,80,210,0,163,0,88,0,77,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,203,0,20,0,0,623,0,0,5,300,0,120,60,27,0,50,,,,,,,,,,,,,,,,,,,,,,,
2,5,180,0,0,0,195,0,0,120,0,0,0,480,0,300,30,50,0,45,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,30,0,0,300,0,0,0,930,0,180,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,105,0,60,40,20,127,0,595,132,0,0,146,0,70,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,45,0,0,525,0,0,0,455,130,0,0,95,0,120,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,15,0,0,60,45,0,0,760,0,210,0,20,0,20,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,5,0,0,80,0,0,40,0,0,150,530,0,315,0,60,0,85,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,30,0,0,20,0,0,140,0,0,0,630,0,180,90,80,0,90,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,50,0,0,120,0,0,0,625,0,0,0,55,0,45,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,15,0,0,90,60,0,0,0,0,0,660,235,0,0,70,0,120,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,180,30,45,0,0,585,0,0,0,390,0,0,0,90,0,75,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,30,150,0,300,0,0,0,0,540,0,0,0,135,0,105,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,320,10,115,0,0,90,0,0,5,465,60,0,40,190,0,80,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,10,0,0,0,0,0,0,830,0,180,0,0,0,395,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,35,0,0,300,0,0,33,630,110,145,31,116,0,25,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,1,0,2,47,0,0,0,0,6,10,130,234,0,2,155,0,309,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,50,0,0,0,0,0,0,645,35,0,0,99,0,150,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,10,245,0,80,0,0,60,0,0,0,495,0,90,0,65,0,75,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,90,120,0,60,0,60,110,580,0,300,0,30,0,60,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,90,30,30,0,0,0,0,970,0,120,0,65,0,15,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,45,0,0,120,0,0,0,525,0,0,0,90,0,40,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,90,120,20,80,0,0,0,0,0,0,600,0,180,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,60,0,0,15,0,0,120,0,160,10,343,2,0,5,110,0,41,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,10,0,0,240,0,0,0,530,250,305,0,70,0,30,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,60,0,0,360,0,0,0,660,0,205,0,0,0,60,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,35,0,0,330,0,0,80,560,30,0,0,170,0,30,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,125,0,30,0,135,0,195,0,0,105,510,118,0,0,137,0,60,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,10,30,0,0,0,30,0,0,540,90,50,0,80,0,30,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,25,0,10,120,0,0,0,705,0,0,0,35,0,30,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,215,30,0,0,0,0,0,0,300,0,0,0,0,0,60,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,50,0,0,35,0,0,0,0,0,20,620,75,30,0,40,0,82,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,30,0,0,0,60,0,0,613,15,120,0,10,0,70,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,130,0,110,50,0,240,0,0,5,650,0,120,0,70,0,65,,,,,,,,,,,,,,,,,,,,,,,
2,5,360,0,0,0,60,0,0,0,0,0,0,480,450,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,30,90,0,0,0,0,0,0,660,0,95,0,50,0,30,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,180,50,120,0,0,0,0,0,405,385,0,0,60,0,90,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,20,0,0,40,0,0,0,0,0,16,870,10,444,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,150,0,0,120,40,60,0,0,0,0,0,480,230,210,0,35,0,70,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,165,0,45,30,0,145,0,0,0,465,0,0,0,95,0,75,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,20,0,0,0,0,0,0,490,0,100,0,420,0,20,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,350,0,0,0,0,0,0,0,0,480,0,0,0,140,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,70,0,0,0,10,0,0,450,20,155,0,10,0,20,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,30,20,0,0,0,0,0,720,120,330,0,75,0,85,,,,,,,,,,,,,,,,,,,,,,,
2,5,0,0,0,0,50,135,60,0,0,0,0,759,151,0,0,90,0,40,,,,,,,,,,,,,,,,,,,,,,,
